ID,title,industry,company_name,job_url,company_website
1,Recruitment Support Executive,Staffing and Recruiting,Wishup,https://www.naukri.com/job-listings-recruitment-support-executive-wishup-remote-0-to-2-years-221124506112,N/A
2,Technical Recruiter,Staffing and Recruiting,Carnivore Style,https://www.naukri.com/job-listings-technical-recruiter-carnivore-style-remote-0-to-3-years-171225504015,N/A
3,Recruiter,Staffing and Recruiting,Pinnacle Group Inc,https://www.naukri.com/job-listings-recruiter-pinnacle-group-inc-remote-0-to-7-years-261225501968,N/A
4,Recruiter,Staffing and Recruiting,Pinnacle Group,https://www.naukri.com/job-listings-recruiter-pinnacle-group-remote-0-to-5-years-080126503276,N/A
5,Technical Recruiter,Staffing and Recruiting,Stackadroit,https://www.naukri.com/job-listings-technical-recruiter-stackadroit-remote-0-to-2-years-120625503876,N/A
6,Sr US IT Recruiter,Staffing and Recruiting,Xduce Technologies,https://www.naukri.com/job-listings-sr-us-it-recruiter-xduce-remote-1-to-5-years-240522500137,N/A
7,IT Recruiter,Staffing and Recruiting,Gravity Infosolutions,https://www.naukri.com/job-listings-it-recruiter-gravity-infosolutions-remote-1-to-3-years-111225504227,N/A
8,HR\/Recruitment Internship,Staffing and Recruiting,Digital Solution Tech,https://www.naukri.com/job-listings-hr-recruitment-internship-digital-solution-tech-remote-0-to-2-years-180725502952,N/A
9,US IT Recruiter / SR. IT Recruiter,Staffing and Recruiting,MNJ Software,https://www.naukri.com/job-listings-us-it-recruiter-sr-it-recruiter-mnj-software-private-limited-remote-1-to-4-years-141122503564,N/A
10,HR IT Recruiter,Staffing and Recruiting,Ikshvaku Solutions,https://www.naukri.com/job-listings-hr-it-recruiter-ikshvakusolutions-remote-1-to-3-years-080524502492,N/A
